_228_,16.24µm
echo_data\[3\],15.78µm
_089_,15.73µm
_206_,15.73µm
_225_,15.73µm
_233_,15.73µm
_041_,15.68µm
_053_,15.68µm
_057_,15.68µm
_278_,15.68µm
_312_,15.68µm
_014_,15.17µm
_047_,15.17µm
_121_,15.17µm
_321_,15.17µm
_346_,15.12µm
debug_rdata_i[11],14.92µm
debug_read_latch\[7\],14.89µm
_164_,14.66µm
_270_,14.66µm
_005_,14.61µm
_125_,14.61µm
_275_,14.61µm
_329_,14.61µm
debug_data_hi\[5\],14.61µm
net64,14.61µm
debug_read_latch\[4\],14.61µm
debug_data_hi\[1\],14.1µm
_016_,14.05µm
_050_,14.05µm
net4,14µm
din_valid_i,13.96µm
_332_,13.77µm
debug_wdata_o[7],13.7µm
net58,13.54µm
debug_read_latch\[9\],13.54µm
_093_,13.49µm
_103_,13.49µm
_154_,13.49µm
_019_,13.44µm
input_left\[5\],13.08µm
_195_,12.98µm
_320_,12.98µm
_083_,12.93µm
_105_,12.93µm
_133_,12.93µm
_245_,12.93µm
_070_,12.88µm
_178_,12.88µm
net15,12.88µm
feeder_start,12.74µm
core_din_ready_i,12.68µm
debug_read_latch\[0\],12.42µm
input_left\[4\],12.42µm
_009_,12.37µm
_013_,12.37µm
_317_,12.37µm
_325_,12.37µm
_291_,12.32µm
_365_,12.32µm
drain_active,12.23µm
_025_,11.81µm
_114_,11.81µm
_058_,11.76µm
_188_,11.76µm
_247_,11.76µm
_343_,11.76µm
debug_write_o,11.51µm
debug_wdata_o[11],11.46µm
debug_wdata_o[14],11.46µm
din_ready_o,11.46µm
debug_data_hi\[4\],11.3µm
net43,11.3µm
_011_,11.25µm
_037_,11.2µm
_043_,11.2µm
_071_,11.2µm
_200_,11.2µm
_224_,11.2µm
net7,11.2µm
din[0],11.16µm
_145_,10.74µm
_008_,10.69µm
_012_,10.69µm
_020_,10.69µm
_029_,10.69µm
_059_,10.69µm
_244_,10.69µm
_230_,10.64µm
_368_,10.64µm
debug_data_hi\[3\],10.64µm
job_head_command[5],10.55µm
debug_wdata_o[0],10.39µm
_002_,10.13µm
_267_,10.13µm
core_din_valid_o,9.94µm
ext_state[0],9.94µm
top_state_o[1],9.94µm
debug_wdata_o[10],9.83µm
_022_,9.57µm
_094_,9.57µm
_257_,9.57µm
_085_,9.52µm
_292_,9.52µm
debug_read_latch\[13\],9.52µm
core_ofdm_active,9.38µm
_130_,9.06µm
_310_,9.06µm
_003_,9.01µm
_010_,9.01µm
_231_,9.01µm
_324_,9.01µm
_360_,9.01µm
_040_,8.96µm
_160_,8.96µm
_232_,8.96µm
_315_,8.96µm
_353_,8.96µm
debug_wdata_o[1],8.66µm
_176_,8.45µm
_281_,8.45µm
_294_,8.45µm
_338_,8.45µm
_017_,8.4µm
_026_,8.4µm
_049_,8.4µm
_075_,8.4µm
_165_,8.4µm
_205_,8.4µm
_258_,8.4µm
_297_,8.4µm
_116_,7.89µm
_327_,7.89µm
_345_,7.89µm
net16,7.89µm
net41,7.89µm
_028_,7.84µm
_162_,7.84µm
_163_,7.84µm
_229_,7.84µm
_254_,7.84µm
debug_wdata_o[3],7.54µm
_288_,7.48µm
_184_,7.38µm
_302_,7.38µm
_304_,7.38µm
_357_,7.38µm
_052_,7.33µm
_067_,7.33µm
_054_,7.28µm
_069_,7.28µm
_104_,7.28µm
_241_,7.28µm
_308_,7.28µm
_331_,7.28µm
_372_,7.28µm
job_push,7.14µm
_098_,6.82µm
_032_,6.77µm
_051_,6.77µm
_090_,6.77µm
_181_,6.77µm
_349_,6.77µm
_055_,6.72µm
_107_,6.72µm
_252_,6.72µm
_276_,6.72µm
_284_,6.72µm
_287_,6.72µm
_370_,6.72µm
debug_wdata_o[12],6.42µm
debug_wdata_o[15],6.42µm
debug_wdata_o[5],6.42µm
debug_wdata_o[9],6.42µm
_034_,6.26µm
_024_,6.21µm
_031_,6.21µm
_063_,6.21µm
_064_,6.21µm
_092_,6.21µm
_268_,6.21µm
net9,6.16µm
debug_wdata_o[4],5.86µm
_335_,5.7µm
_136_,5.65µm
_023_,5.6µm
_036_,5.6µm
_066_,5.6µm
_183_,5.6µm
_193_,5.6µm
_347_,5.6µm
_354_,5.6µm
net136,5.6µm
_068_,5.09µm
_303_,5.09µm
_033_,5.04µm
_045_,5.04µm
_084_,5.04µm
_341_,5.04µm
_342_,5.04µm
_344_,5.04µm
net14,5.04µm
_171_,4.58µm
_027_,4.48µm
_128_,4.48µm
_194_,4.48µm
_253_,4.48µm
_277_,4.48µm
_355_,4.48µm
_361_,4.48µm
_362_,4.48µm
net85,4.48µm
_283_,4.02µm
_323_,3.97µm
_004_,3.92µm
_038_,3.92µm
_060_,3.92µm
_061_,3.92µm
_169_,3.92µm
_172_,3.92µm
_198_,3.92µm
_251_,3.92µm
_271_,3.92µm
_299_,3.92µm
_301_,3.92µm
