test,sample,reference_real,reference_imag,rtl_real,rtl_imag
3,40,-0.0692690452854,0.0994067611276,-0.0703125,0.09375
3,41,0.00453360798436,0.151072562696,0,0.1484375
3,42,0.0639982461452,0.0544785130738,0.0625,0.046875
3,43,-0.00457942478161,0.16518237707,-0.0078125,0.1640625
3,44,0.0899129664046,0.0326904325634,0.0859375,0.03125
3,45,0.000108813942642,-0.0832458975059,0,-0.0859375
3,46,0.025307301626,-0.0175366895754,0.0234375,-0.0234375
3,47,0.022096448191,-0.0608689430645,0.015625,-0.0625
3,48,-0.056396484375,-0.0228271484375,-0.0625,-0.0234375
3,49,0.0500495832794,0.0866838265269,0.046875,0.0859375
3,50,0.0211250106557,0.0121156543872,0.015625,0.0078125
3,51,0.0444185951869,0.0338501214052,0.0390625,0.03125
3,52,-0.0783424900301,-0.045779888217,-0.0859375,-0.046875
3,53,0.0632689147867,0.0398475713644,0.0625,0.0390625
3,54,-0.00176120679365,0.0271762812616,-0.0078125,0.0234375
3,55,-0.0451509129836,-0.00562544284999,-0.046875,-0.0078125
3,56,-0.125355324914,0.0479958098319,-0.1328125,0.046875
3,57,0.0857440836546,-0.217565982868,0.0859375,-0.21875
3,58,0.0107688007981,-0.0770775092261,0.0078125,-0.078125
3,59,0.0316908012746,-0.101419308952,0.03125,-0.1015625
3,60,0.0335556428579,-0.0755142449405,0.03125,-0.078125
3,61,-0.0309469806697,0.0163977933496,-0.03125,0.015625
3,62,0.0931004739692,-0.0423498065818,0.09375,-0.046875
3,63,0.0257171089701,-0.0611335591129,0.0234375,-0.0625
4,0,-0.0546875,-0.0408935546875,-0.0546875,-0.046875
4,1,-0.128707590505,0.120686170297,-0.1328125,0.1171875
4,2,0.102808812014,-0.0545115978387,0.1015625,-0.0625
4,3,0.0131290215542,0.0444634344539,0.0078125,0.0390625
4,4,-0.0642696607302,-0.0370789169221,-0.0703125,-0.0390625
4,5,-0.079059168497,0.156852385153,-0.0859375,0.15625
4,6,0.057563647049,-0.108833896294,0.0546875,-0.109375
4,7,-0.108134731338,0.0034440015406,-0.109375,0
4,8,0.0657410505136,0.0349015097097,0.0625,0.03125
4,9,-0.0925809726194,-0.072175337978,-0.09375,-0.078125
4,10,-0.0428995829474,-0.0870283241773,-0.046875,-0.09375
4,11,-0.033197612055,-0.0199885435646,-0.0390625,-0.0234375
4,12,-0.0060922251044,-0.0621443641197,-0.0078125,-0.0625
4,13,0.00440960663828,0.0751004821956,0,0.0703125
4,14,-0.0572466343321,0.0191290699958,-0.0625,0.015625
4,15,0.0846958652319,-0.0784007367631,0.078125,-0.0859375
4,16,0.0794677734375,0.073974609375,0.078125,0.0703125
4,17,-0.051708515463,-0.0353980389216,-0.0546875,-0.0390625
4,18,-0.0111169790397,0.0271018456801,-0.015625,0.0234375
4,19,-0.0740816457302,0.0376060812783,-0.078125,0.03125
4,20,-0.0594339112136,0.00914285815099,-0.0625,0.0078125
4,21,-0.0325797904501,0.0747963655559,-0.0390625,0.0703125
4,22,-0.011966967693,-0.136834379348,-0.015625,-0.140625
4,23,-0.123647806268,0.137092452227,-0.125,0.1328125
4,24,-0.0431134332862,0.0273776539694,-0.046875,0.0234375
4,25,0.0684660222838,0.0053056071848,0.0625,0
4,26,0.0406161590095,-0.0749365327326,0.0390625,-0.078125
4,27,-0.0468080726903,0.0387989022088,-0.046875,0.0390625
4,28,-0.0542469964526,-0.0244988937788,-0.0546875,-0.03125
4,29,0.022596246689,-0.0486255518384,0.015625,-0.0546875
4,30,0.0686074691646,-0.0679739294293,0.0625,-0.0703125
4,31,0.131352268552,0.0144122335834,0.125,0.0078125
4,32,0.0439453125,0.0506591796875,0.0390625,0.046875
4,33,0.0509278352595,0.0962317692835,0.046875,0.09375
4,34,0.0464383366328,0.0749697811351,0.0390625,0.0703125
4,35,0.0330719566805,0.0438077687116,0.03125,0.0390625
4,36,0.0454192917374,0.110656718446,0.0390625,0.109375
4,37,-0.0156571059185,0.0170659878342,-0.0234375,0.015625
4,38,0.076671211577,0.0106263986199,0.0703125,0.0078125
4,39,0.0783227452613,0.00501755710912,0.078125,0
4,40,0.137383949486,0.0637313027903,0.1328125,0.0625
4,41,0.0122094742054,-0.101199939418,0.0078125,-0.1015625
4,42,0.200710932848,-0.198535683348,0.1953125,-0.203125
4,43,0.00315018152651,0.0915257911008,0,0.0859375
4,44,-0.0676717116607,0.0121200733637,-0.0703125,0.0078125
4,45,-0.0247425351252,-0.0384094330809,-0.03125,-0.0390625
4,46,-0.045589083084,-0.0450268859989,-0.046875,-0.046875
4,47,-0.175253788668,0.0375752261504,-0.1796875,0.03125
4,48,0.0025634765625,0.082275390625,0,0.078125
4,49,0.0720764769561,0.000652678879063,0.0703125,0
4,50,-0.0398723929107,0.110536825845,-0.046875,0.109375
4,51,-0.119156790327,0.0330022800297,-0.125,0.03125
4,52,-0.0657586885436,-0.0412167534252,-0.0703125,-0.046875
4,53,-0.0563246110769,-0.0949461949846,-0.0625,-0.1015625
4,54,0.0380299287086,-0.0717918584869,0.03125,-0.078125
4,55,-0.0397771775833,-0.0286755245282,-0.046875,-0.03125
4,56,-0.0750506292138,-0.0449557789694,-0.078125,-0.046875
4,57,0.0391454694924,0.0119256872664,0.0390625,0.0078125
4,58,0.100775651894,0.0442005604363,0.1015625,0.0390625
4,59,-0.0401869070249,0.025525256992,-0.046875,0.0234375
4,60,0.0357257769677,-0.0206916592152,0.03125,-0.0234375
4,61,0.0337947831302,0.00987173757099,0.03125,0.0078125
4,62,-0.13485863389,0.0100804809418,-0.140625,0.0078125
4,63,0.0278506178786,-0.0512218055297,0.0234375,-0.0546875
