test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
2,42,-4,13,-4,13,-0.029681338938753084,0.1043965613489578
2,43,-14,7,-14,7,-0.10158880397546408,0.06064708825129006
2,44,-16,-3,-16,-3,-0.12003094555217914,-0.02059405444782087
2,45,-11,-12,-11,-12,-0.07930076393698762,-0.08780514361661963
2,46,-2,-14,-2,-14,-0.012528852881087592,-0.10780840295713463
2,47,5,-11,5,-11,0.03995516067386594,-0.08559663320930948
2,48,7,-7,7,-7,0.06206367883817038,-0.05039808407752072
2,49,8,-4,8,-4,0.06660456648587323,-0.024549420073046144
2,50,9,-1,9,-1,0.07274605634659616,-0.005309137129005716
2,51,10,3,10,3,0.08084004447377546,0.02461560333572543
2,52,9,9,9,9,0.0703125,0.0703125
2,53,3,14,3,14,0.02318376716511516,0.10998573928891853
2,54,-7,14,-7,14,-0.049935039632587414,0.10936958805287324
2,55,-14,6,-14,6,-0.10865860267605501,0.054128147823412735
2,56,-15,-4,-15,-4,-0.11178212439034949,-0.029804029629699844
2,57,-7,-12,-7,-12,-0.05314530124527729,-0.08959781860796179
2,58,3,-11,3,-11,0.027770686958608327,-0.08499738624312589
2,59,9,-3,9,-3,0.07280319142231048,-0.021834182769258487
2,60,6,6,6,6,0.04971844555217913,0.04971844555217913
2,61,-3,9,-3,9,-0.021834182769258463,0.0728031914223105
2,62,-11,3,-11,3,-0.08499738624312589,0.02777068695860832
2,63,-12,-7,-12,-7,-0.08959781860796179,-0.05314530124527728
2,64,-4,-15,-4,-15,-0.029804029629699844,-0.1117821243903495
2,65,7,-14,7,-14,0.05412814782341272,-0.10865860267605501
2,66,14,-7,14,-7,0.10936958805287325,-0.0499350396325874
2,67,14,3,14,3,0.10998573928891851,0.02318376716511516
3,0,16,-4,16,-4,0.12578401263783928,-0.02773454648153787
3,1,16,8,16,8,0.13256102996320338,0.06543890938481974
3,2,7,16,7,16,0.062014519565840046,0.13184131496885765
3,3,-4,15,-4,15,-0.02774667741301441,0.11948056837990437
3,4,-9,6,-9,6,-0.064453125,0.052734375
3,5,-5,0,-5,0,-0.0353693443210093,0.002844800618852691
3,6,0,1,0,1,0.006316976289942128,0.010742733031535744
3,7,0,6,0,6,0.0055889391061600124,0.04883178536214133
3,8,-5,7,-5,7,-0.035144824275814356,0.06057525840067621
3,9,-9,3,-9,3,-0.06662508923722682,0.027364680897925372
3,10,-7,-2,-7,-2,-0.054740253715722734,-0.01474297742516102
3,11,-3,-3,-3,-3,-0.01860520235975173,-0.02267438773579876
3,12,-1,0,-1,0,-0.0030202420848385605,0.0024972775118027486
3,13,-4,2,-4,2,-0.02319078984079381,0.020922268262010043
3,14,-7,0,-7,0,-0.0491998824302052,0.00492401581499402
3,15,-6,-4,-6,-4,-0.045681186603196915,-0.02858725903909042
3,16,-2,-6,-2,-6,-0.015194365435000832,-0.04177848769568576
3,17,0,-4,0,-4,0.007282473504913193,-0.023354227023361002
3,18,-1,-1,-1,-1,-0.0009648133799772945,-0.0007468869045776086
3,19,-3,-1,-3,-1,-0.02327825010496507,-0.004197039630084058
3,20,-4,-4,-4,-4,-0.0263671875,-0.029296875
3,21,-1,-6,-1,-6,-0.0024607113919044516,-0.044148493361760716
3,22,2,-4,2,-4,0.022056921097039207,-0.030264385047663236
3,23,2,-1,2,-1,0.020820407902377356,-0.005125209208954292
3,24,0,0,0,0,0.0003549735649434581,0.0009324359400700467
3,25,-2,-3,-2,-3,-0.00927317750034672,-0.01690531609240889
3,26,0,-5,0,-5,0.006998376704328931,-0.0327238668967902
3,27,3,-3,3,-3,0.03060632503446787,-0.023417453659967422
3,28,4,0,4,0,0.03353484310633724,0.0021272037177528648
3,29,1,1,1,1,0.013906355286810723,0.014824779219134141
3,30,-1,0,-1,0,-0.002106312755845631,0.00249505023381804
3,31,0,-3,0,-3,0.0060963290736824535,-0.015013156104471542
3,32,3,-2,3,-2,0.027420255345114344,-0.011515837777392507
3,33,4,1,4,1,0.03349410729321626,0.012011876706446784
3,34,1,3,1,3,0.014990783697036391,0.028738016528220507
3,35,-1,2,-1,2,-0.006455426635559413,0.020238000953609316
3,36,-1,0,-1,0,-0.005859375,0.0
3,37,1,-1,1,-1,0.013177053604489314,-0.0038157170192865946
3,38,3,2,3,2,0.02297992568993211,0.015525514426789719
3,39,0,4,0,4,0.007219095872254727,0.03443267032929001
3,40,-3,3,-3,3,-0.017852035851970906,0.028930179698354274
3,41,-4,0,-4,0,-0.023735757461448216,0.005514865038368764
3,42,-1,-1,-1,-1,-0.006120047236474427,-0.00666556406263326
3,43,1,0,1,0,0.00912465660464238,0.0070477943192578316
3,44,-1,3,-1,3,-0.0012691181157603302,0.027528243892389483
3,45,-4,3,-4,3,-0.027681458633372184,0.025685225325570018
3,46,-5,-1,-5,-1,-0.03892128106667076,-0.00012085118811241882
3,47,-3,-3,-3,-3,-0.021820118136152027,-0.02091598889622961
3,48,0,-2,0,-2,0.0010450826526460961,-0.013449774449576098
3,49,-1,1,-1,1,-0.0007855090646010235,0.009424680580606897
3,50,-4,1,-4,1,-0.026343421805149494,0.013842463479716766
3,51,-6,-2,-6,-2,-0.04279711683843627,-0.01197773646464818
3,52,-4,-6,-4,-6,-0.0263671875,-0.041015625
3,53,0,-6,0,-6,0.006148889138683426,-0.0401523926199176
3,54,2,-2,2,-2,0.01658421405846613,-0.012831963532040535
3,55,-1,0,-1,0,-0.006334091902687004,0.0028968725136422156
3,56,-4,-3,-4,-3,-0.03011800984135043,-0.01855535923969942
3,57,-3,-8,-3,-8,-0.01713356057594059,-0.05566670834329113
3,58,3,-9,3,-9,0.026760987774909692,-0.06324741089122617
3,59,7,-4,7,-4,0.05532293056351011,-0.028715229240503657
3,60,4,1,4,1,0.037506303297854995,0.008021531482846022
3,61,0,0,0,0,-0.00031451076467317596,1.0768426291486895e-05
3,62,0,-6,0,-6,-0.0003066924874491173,-0.046765202535728
3,63,7,-10,7,-10,0.05793938583666793,-0.07230423187809713
3,64,16,-4,16,-4,0.12578401263783928,-0.02773454648153787
3,65,16,8,16,8,0.13256102996320338,0.06543890938481974
3,66,7,16,7,16,0.062014519565840046,0.13184131496885765
3,67,-4,15,-4,15,-0.02774667741301441,0.11948056837990437
4,0,-10,-11,-10,-11,-0.07094088843028007,-0.08295036444729982
4,1,-7,-9,-7,-9,-0.05118209497885558,-0.0694507528811889
4,2,-7,-11,-7,-11,-0.05072966894201954,-0.08214884319380511
4,3,-3,-15,-3,-15,-0.022318836635173762,-0.1156689509635286
4,4,5,-16,5,-16,0.04394531250000001,-0.123046875
4,5,13,-10,13,-10,0.10692841573852506,-0.07505785917622694
4,6,15,0,15,0,0.12034563872160248,0.005605573533978274
4,7,10,8,10,8,0.07912879916447949,0.06999518324346646
4,8,2,11,2,11,0.015801174959665383,0.09037132638248392
4,9,-5,9,-5,9,-0.03799405414258591,0.0737629444130434
4,10,-10,4,-10,4,-0.07276942325147143,0.03682387070796654
4,11,-12,-2,-12,-2,-0.086169101113033,-0.014722478378392443
4,12,-9,-10,-9,-10,-0.06510109640130293,-0.0739168483061585
4,13,0,-15,0,-15,0.00046491940305373215,-0.1121627441361707
4,14,11,-12,11,-12,0.08734473697700013,-0.09133275897946798
4,15,17,-1,17,-1,0.13943786709559017,-0.005323248545502686
4,16,14,12,14,12,0.11259754290968396,0.09841832135569405
4,17,2,19,2,19,0.019907598732717163,0.15199653323386914
4,18,-10,16,-10,16,-0.07566663026026915,0.12662774939137506
4,19,-16,7,-16,7,-0.11807473914352819,0.055980121130815165
4,20,-14,-1,-14,-1,-0.10546875,-0.001464843749999993
4,21,-11,-3,-11,-3,-0.08027372584982927,-0.01905785390681884
4,22,-11,-3,-11,-3,-0.07860499663443685,-0.018269533323780944
4,23,-13,-5,-13,-5,-0.09657973903601777,-0.03473198836851535
4,24,-14,-11,-14,-11,-0.10405470406558183,-0.0786272421151733
4,25,-11,-17,-11,-17,-0.07991694367098158,-0.13084011426041792
4,26,-4,-22,-4,-22,-0.026538293796512093,-0.16742949632070617
4,27,5,-23,5,-23,0.04275944245891012,-0.17589722161573346
4,28,14,-20,14,-20,0.114701100881009,-0.1499019166428747
4,29,21,-11,21,-11,0.16965113532362025,-0.08507360160986407
4,30,22,0,22,0,0.1784910329901253,0.006385308175961515
4,31,16,10,16,10,0.1256973372141423,0.08321912226146023
4,32,5,12,5,12,0.03987335778993102,0.09798666451191983
4,33,-3,5,-3,5,-0.014521263632040721,0.04612292744849241
4,34,0,-2,0,-2,0.005390002289650253,-0.014794903999305081
4,35,8,-2,8,-2,0.06953336919536451,-0.013185554207210112
4,36,12,7,12,7,0.09521484375,0.06005859375
4,37,4,16,4,16,0.031649966943866195,0.13170722070726062
4,38,-11,14,-11,14,-0.07841319296174964,0.11656335222472111
4,39,-18,1,-18,1,-0.13407107027064138,0.010168288367462835
4,40,-11,-13,-11,-13,-0.07926850949474784,-0.09861534847756469
4,41,4,-15,4,-15,0.03624024364642633,-0.11552905703309133
4,42,13,-5,13,-5,0.10739657984762649,-0.03721766557459488
4,43,10,6,10,6,0.0828210528411332,0.049567323118124104
4,44,1,8,1,8,0.012651874282664927,0.06467925832225124
4,45,-3,2,-3,2,-0.01608559281762982,0.0184019624777845
4,46,2,-2,2,-2,0.01953371673198711,-0.010711489076709518
4,47,7,3,7,3,0.057109392273813085,0.02528560699100079
4,48,3,11,3,11,0.029415923808884137,0.085157844521677
4,49,-7,11,-7,11,-0.050185063465034735,0.08834691474388773
4,50,-13,1,-13,1,-0.09894030628152789,0.013383071321834868
4,51,-8,-10,-8,-10,-0.05964511590450387,-0.07196191156838216
