net,length_um
core_X2_q\[6\],414.7µm
net104,414.55µm
u_transform_scheduler_core.bf_X0_q\[1\],414.45µm
core_X2_q\[4\],414.09µm
_02943_,411.7µm
net60,410.47µm
net148,410.42µm
_04512_,410.02µm
_04729_,409.97µm
_05204_,409.97µm
clknet_leaf_64_clk_regs,409.96µm
top_state\[9\],409.535µm
net18,409.1µm
net128,408.85µm
_04079_,408.49µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[5\],408.44µm
_05756_,407.88µm
core_X2_i\[10\],407.42µm
u_transform_scheduler_core.bf_X0_q\[0\],407.37µm
u_transform_scheduler_core.tx_ifft_block_ready,407.27µm
_02571_,406.76µm
net17,406.76µm
_04666_,406.65µm
_07052_,406.56µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[9\],406.56µm
_02869_,405.13µm
_08570_,405.13µm
u_transform_scheduler_core.bf_X0_i\[0\],405.03µm
_03466_,403.86µm
_04252_,403.25µm
_04660_,403.14µm
net77,403.09µm
_05439_,402.69µm
clknet_leaf_52_clk_regs,401.46µm
_02930_,401.41µm
_04814_,400.5µm
_04382_,399.94µm
_04996_,399.02µm
_04354_,398.31µm
_04704_,398.16µm
clknet_leaf_51_clk_regs,397.59µm
_03918_,397.39µm
clknet_leaf_22_clk_regs,397.39µm
clknet_leaf_3_clk_regs,397.03µm
_06509_,396.53µm
_04616_,396.52µm
_04732_,396.48µm
u_transform_scheduler_core.bf_X0_q\[4\],396.07µm
clknet_leaf_60_clk_regs,395.96µm
clknet_leaf_66_clk_regs,395.91µm
net187,394.23µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[10\],393.78µm
_05830_,393.68µm
_03000_,393.42µm
_05461_,393.21µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[9\],390.42µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[5\],390.37µm
_06899_,390.32µm
_03585_,389.81µm
net188,388.33µm
_02433_,388.28µm
core_X2_i\[7\],388.28µm
u_transform_scheduler_core.bf_X0_i\[7\],387.72µm
_03324_,387.57µm
_05774_,387.52µm
_02988_,387.06µm
_05443_,387.01µm
u_transform_scheduler_core.rx_state\[13\],386.55µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[7\],384.87µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[13\],384.26µm
_04372_,383.75µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[13\],383.75µm
u_transform_scheduler_core.bf_X0_i\[4\],383.7µm
clknet_leaf_17_clk_regs,383.59µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[4\],382.73µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[14\],382.63µm
clknet_leaf_5_clk_regs,382.52µm
_05397_,381.92µm
u_transform_scheduler_core.dft12_base\[2\],381.91µm
clknet_leaf_10_clk_regs,381.55µm
core_X2_i\[5\],381.27µm
clknet_leaf_74_clk_regs,379.82µm
_02589_,379.32µm
