u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_product_reg\[3\],25.86µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_i_reg\[15\],25.86µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[10\],25.86µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_i_reg\[1\],25.86µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[2\],25.86µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[6\],25.86µm
_02424_,25.81µm
_02426_,25.81µm
_03088_,25.81µm
_05637_,25.81µm
_07068_,25.81µm
_07450_,25.81µm
_07699_,25.81µm
_08631_,25.81µm
_08865_,25.81µm
_08875_,25.81µm
u_core.u_transform_scheduler_core.dft12_ram_i\[7\]\[13\],25.81µm
u_core.u_transform_scheduler_core.rx_small_x0_q\[5\],25.81µm
u_core.u_transform_scheduler_core.rx_small_x2_i\[3\],25.81µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_twiddle_re_reg\[5\],25.81µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_i_reg\[9\],25.81µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[12\],25.81µm
_00065_,25.76µm
_00371_,25.76µm
_02143_,25.76µm
_02229_,25.76µm
_03006_,25.76µm
_03376_,25.76µm
_05542_,25.76µm
_06282_,25.76µm
_06612_,25.76µm
_06652_,25.76µm
_07056_,25.76µm
_07100_,25.76µm
_07751_,25.76µm
_07974_,25.76µm
_08106_,25.76µm
_08176_,25.76µm
_08838_,25.76µm
_08979_,25.76µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[0\],25.76µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.state\[1\],25.76µm
_07546_,25.53µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[6\],25.53µm
_04003_,25.35µm
_04159_,25.35µm
u_core.debug_wdata\[1\],25.35µm
_02145_,25.3µm
_02315_,25.3µm
_02495_,25.3µm
_02833_,25.3µm
_03447_,25.3µm
_03860_,25.3µm
_06406_,25.3µm
_07441_,25.3µm
_07789_,25.3µm
_08513_,25.3µm
_08714_,25.3µm
u_core.u_transform_scheduler_core.dft12_ram_q\[0\]\[11\],25.3µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[21\],25.3µm
u_core.u_transform_scheduler_core.ofdm_sample_i\[1\],25.3µm
u_core.u_transform_scheduler_core.rx_small_x1_q\[7\],25.3µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rq_reg\[6\],25.3µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rr_reg\[5\],25.3µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[17\],25.3µm
_00308_,25.25µm
_02428_,25.25µm
_03713_,25.25µm
_03880_,25.25µm
_04164_,25.25µm
_04259_,25.25µm
_05332_,25.25µm
_06446_,25.25µm
_06585_,25.25µm
_07301_,25.25µm
_07823_,25.25µm
_08027_,25.25µm
_08300_,25.25µm
_08752_,25.25µm
_09043_,25.25µm
_09071_,25.25µm
u_core.u_transform_scheduler_core.tx_sample_q\[3\],25.25µm
u_core.u_transform_scheduler_core.u_fdiq_input_adapter.held_i\[6\],25.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[3\],25.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rr_reg\[2\],25.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_ii_reg\[1\],25.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rr_reg\[7\],25.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_i_reg\[0\],25.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_im_reg\[2\],25.25µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[12\],25.25µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.held_i\[1\],25.25µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.held_i\[6\],25.25µm
_04820_,25.2µm
_06255_,25.2µm
_06756_,25.2µm
_07791_,25.2µm
_07938_,25.2µm
_08092_,25.2µm
_08421_,25.2µm
_08441_,25.2µm
u_core.input_left\[5\],25.2µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[1\],25.2µm
u_core.u_transform_scheduler_core.tx_dft12_hold_i\[2\]\[14\],25.2µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_wdata\[1\],25.11µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[11\],24.84µm
_03876_,24.79µm
_04311_,24.79µm
_08484_,24.79µm
u_core.debug_data_hi\[7\],24.79µm
u_core.u_transform_scheduler_core.rx_small_x1_i\[4\],24.79µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_i_reg\[11\],24.79µm
_07757_,24.76µm
_02366_,24.74µm
_03181_,24.74µm
_05416_,24.74µm
_07564_,24.74µm
_08434_,24.74µm
_08452_,24.74µm
_08802_,24.74µm
u_core.debug_read_latch\[6\],24.74µm
u_core.output_left\[8\],24.74µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[6\],24.74µm
u_core.u_transform_scheduler_core.result_meta_radix3\[1\]\[0\],24.74µm
u_core.u_transform_scheduler_core.rx_small_x1_i\[7\],24.74µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_i\[3\],24.74µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rr_reg\[3\],24.74µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_iq_reg\[13\],24.74µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_iq_reg\[2\],24.74µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_i_reg\[3\],24.74µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_i_reg\[6\],24.74µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[14\],24.74µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[15\],24.74µm
_03562_,24.69µm
_04513_,24.69µm
_04953_,24.69µm
_05264_,24.69µm
_05292_,24.69µm
_08316_,24.69µm
_08990_,24.69µm
_09040_,24.69µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[27\],24.69µm
u_core.u_transform_scheduler_core.rx_fft128_i\[10\],24.69µm
u_core.u_transform_scheduler_core.rx_small_x1_i\[5\],24.69µm
u_core.u_transform_scheduler_core.rx_small_x2_i\[2\],24.69µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[0\]\[13\],24.69µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.saved_addr\[5\],24.69µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_i_reg\[13\],24.69µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[11\],24.69µm
_02308_,24.64µm
_03334_,24.64µm
_04996_,24.64µm
_05054_,24.64µm
_05429_,24.64µm
_05745_,24.64µm
_06496_,24.64µm
_06836_,24.64µm
_07188_,24.64µm
_07200_,24.64µm
_07771_,24.64µm
_08061_,24.64µm
_08088_,24.64µm
_08337_,24.64µm
u_core.u_transform_scheduler_core.dft12_sent_x2_q,24.33µm
_07985_,24.28µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[5\],24.28µm
_04643_,24.23µm
_05920_,24.23µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_iq_reg\[3\],24.23µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.requests_left\[6\],24.23µm
_02478_,24.18µm
_02836_,24.18µm
_04026_,24.18µm
_04109_,24.18µm
_05491_,24.18µm
_08338_,24.18µm
_08765_,24.18µm
_08814_,24.18µm
_08898_,24.18µm
_08916_,24.18µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[5\],24.18µm
u_core.u_transform_scheduler_core.rx_small_x0_q\[2\],24.18µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[8\],24.18µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[11\],24.18µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[2\],24.18µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[15\],24.18µm
_02083_,24.13µm
_02440_,24.13µm
_02593_,24.13µm
_02800_,24.13µm
_03064_,24.13µm
_04066_,24.13µm
_05738_,24.13µm
_06224_,24.13µm
_06245_,24.13µm
_06401_,24.13µm
_06990_,24.13µm
_07082_,24.13µm
_07471_,24.13µm
_08397_,24.13µm
_08539_,24.13µm
u_core.u_transform_scheduler_core.dft12_sent_twiddle_im,24.13µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[19\],24.13µm
u_core.u_transform_scheduler_core.fifo_x2_q\[0\]\[1\],24.13µm
u_core.u_transform_scheduler_core.rx_small_x1_i\[0\],24.13µm
u_core.u_transform_scheduler_core.u_fdiq_input_adapter.held_i\[1\],24.13µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_q_reg\[0\],24.13µm
_01855_,24.08µm
_02007_,24.08µm
_02174_,24.08µm
_02484_,24.08µm
_04568_,24.08µm
_04879_,24.08µm
_04914_,24.08µm
_05050_,24.08µm
_05541_,24.08µm
_06613_,24.08µm
_08225_,24.08µm
_08353_,24.08µm
u_core.u_transform_scheduler_core.tx_sample_i\[3\],24.08µm
u_core.u_transform_scheduler_core.u_fdiq_input_adapter.held_i\[2\],24.08µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rq_reg\[11\],24.08µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[12\],24.08µm
_05163_,24.07µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_product_reg\[13\],23.9µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_product_reg\[12\],23.85µm
_08035_,23.77µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_product_reg\[7\],23.77µm
_02537_,23.67µm
_05580_,23.67µm
_05680_,23.67µm
_08530_,23.67µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[10\],23.67µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_uop_reg\[0\],23.67µm
_02139_,23.62µm
_02552_,23.62µm
_03011_,23.62µm
_05513_,23.62µm
_06455_,23.62µm
_07130_,23.62µm
_07420_,23.62µm
_07542_,23.62µm
_07772_,23.62µm
_08311_,23.62µm
_08510_,23.62µm
u_core.u_transform_scheduler_core.dft12_phase_onehot\[0\],23.62µm
u_core.u_transform_scheduler_core.dft12_ram_i\[0\]\[4\],23.62µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[9\],23.62µm
u_core.u_transform_scheduler_core.fifo_x0_i\[0\]\[5\],23.62µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[0\],23.62µm
u_core.u_transform_scheduler_core.tx_sample_i\[1\],23.62µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[9\],23.62µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[5\],23.62µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_ii_reg\[5\],23.62µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_iq_reg\[9\],23.62µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[14\],23.62µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[8\],23.62µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.held_i\[2\],23.62µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.pace_count\[3\],23.62µm
_00020_,23.57µm
_01088_,23.57µm
_01941_,23.57µm
_03784_,23.57µm
_04015_,23.57µm
_04046_,23.57µm
_04175_,23.57µm
_04841_,23.57µm
_04849_,23.57µm
_04998_,23.57µm
_05908_,23.57µm
_06635_,23.57µm
_08476_,23.57µm
u_core.debug_addr\[0\],23.57µm
u_core.debug_read_latch\[9\],23.57µm
u_core.u_transform_scheduler_core.dft12_ram_i\[0\]\[13\],23.57µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[5\],23.57µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[8\],23.57µm
u_core.u_transform_scheduler_core.rx_small_x2_i\[10\],23.57µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.i_half\[8\],23.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rq_reg\[8\],23.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_ii_reg\[11\],23.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_i_reg\[7\],23.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[13\],23.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_i_reg\[12\],23.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[16\],23.57µm
_00533_,23.52µm
_02087_,23.52µm
_02368_,23.52µm
_03433_,23.52µm
_04552_,23.52µm
_05169_,23.52µm
_06068_,23.52µm
_07037_,23.52µm
_07933_,23.52µm
_08472_,23.52µm
_08847_,23.52µm
_08912_,23.52µm
u_core.debug_read_latch\[12\],23.52µm
u_core.u_transform_scheduler_core.tx_dout\[6\],23.52µm
_08050_,23.16µm
_04107_,23.11µm
_07531_,23.11µm
_02179_,23.06µm
_03405_,23.06µm
_03625_,23.06µm
_04092_,23.06µm
_07409_,23.06µm
_07648_,23.06µm
_07770_,23.06µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[23\],23.06µm
u_core.u_transform_scheduler_core.tx_dft12_hold_i\[1\]\[15\],23.06µm
u_core.u_transform_scheduler_core.tx_sample_i\[10\],23.06µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[7\],23.06µm
_00534_,23.01µm
_01025_,23.01µm
_02201_,23.01µm
_02346_,23.01µm
_02696_,23.01µm
_04354_,23.01µm
_04381_,23.01µm
_05315_,23.01µm
_05963_,23.01µm
_08677_,23.01µm
_09081_,23.01µm
u_core.debug_wdata\[9\],23.01µm
u_core.u_transform_scheduler_core.dft12_ram_i\[2\]\[2\],23.01µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[1\]\[15\],23.01µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.i_half\[2\],23.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_q_reg\[12\],23.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_i_reg\[9\],23.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[3\],23.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[9\],23.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[8\],23.01µm
_03481_,22.96µm
_03515_,22.96µm
_03690_,22.96µm
_04233_,22.96µm
_05103_,22.96µm
_06390_,22.96µm
_07321_,22.96µm
_07799_,22.96µm
_08129_,22.96µm
_08856_,22.96µm
_09041_,22.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_q_reg\[4\],22.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_product_reg\[10\],22.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[6\],22.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[11\],22.96µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.held_i\[4\],22.96µm
_04068_,22.6µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_q\[8\],22.6µm
_03707_,22.55µm
_04156_,22.55µm
_03722_,22.5µm
_04040_,22.5µm
_04058_,22.5µm
_04127_,22.5µm
_04641_,22.5µm
_05351_,22.5µm
_07978_,22.5µm
_08276_,22.5µm
u_core.debug_data_hi\[2\],22.5µm
u_core.u_transform_scheduler_core.mod_diag_X1_q\[0\],22.5µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.i_half\[15\],22.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_i_reg\[6\],22.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_q_reg\[1\],22.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_q_reg\[10\],22.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_product_reg\[11\],22.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_iq_reg\[3\],22.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_im_reg\[5\],22.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[10\],22.5µm
_01950_,22.45µm
_02230_,22.45µm
_02240_,22.45µm
_02246_,22.45µm
_02507_,22.45µm
_03355_,22.45µm
_04237_,22.45µm
_05693_,22.45µm
_05784_,22.45µm
_06677_,22.45µm
_07562_,22.45µm
_07599_,22.45µm
_08198_,22.45µm
u_core.debug_data_hi\[5\],22.45µm
u_core.u_transform_scheduler_core.dft12_ram_i\[0\]\[15\],22.45µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[7\],22.45µm
u_core.u_transform_scheduler_core.fifo_x1_q\[0\]\[4\],22.45µm
u_core.u_transform_scheduler_core.rx_small_x0_i\[4\],22.45µm
u_core.u_transform_scheduler_core.rx_small_x1_i\[1\],22.45µm
u_core.u_transform_scheduler_core.rx_small_x2_i\[4\],22.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_q_reg\[10\],22.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_twiddle_re_reg\[3\],22.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_i_reg\[15\],22.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[15\],22.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[8\],22.45µm
_02099_,22.4µm
_02151_,22.4µm
_02204_,22.4µm
_02504_,22.4µm
_03188_,22.4µm
_03444_,22.4µm
_03542_,22.4µm
_03575_,22.4µm
_03583_,22.4µm
_04571_,22.4µm
_06336_,22.4µm
_06504_,22.4µm
_06524_,22.4µm
_07040_,22.4µm
_07382_,22.4µm
_08404_,22.4µm
_08851_,22.4µm
u_core.u_transform_scheduler_core.tx_sample_q\[4\],22.4µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_re_reg\[5\],22.4µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.requests_left\[7\],22.4µm
_04053_,21.99µm
_04087_,21.99µm
_04152_,21.99µm
_07467_,21.99µm
_08346_,21.99µm
_08605_,21.99µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[19\],21.99µm
_02306_,21.94µm
_03980_,21.94µm
_04042_,21.94µm
_04245_,21.94µm
_04247_,21.94µm
_04875_,21.94µm
_08914_,21.94µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[1\],21.94µm
u_core.u_transform_scheduler_core.fifo_x0_q\[0\]\[0\],21.94µm
u_core.u_transform_scheduler_core.mod_diag_X1_q\[14\],21.94µm
u_core.u_transform_scheduler_core.result_meta_count\[1\],21.94µm
u_core.u_transform_scheduler_core.rx_small_x0_i\[0\],21.94µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_i_reg\[4\],21.94µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rq_reg\[13\],21.94µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rq_reg\[11\],21.94µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.pace_count\[2\],21.94µm
_01658_,21.89µm
_02565_,21.89µm
_02597_,21.89µm
_03178_,21.89µm
_03705_,21.89µm
_04385_,21.89µm
_04388_,21.89µm
_04525_,21.89µm
_04899_,21.89µm
_06109_,21.89µm
_06150_,21.89µm
_06709_,21.89µm
_07104_,21.89µm
_08959_,21.89µm
u_core.u_transform_scheduler_core.dft12_ram_i\[0\]\[6\],21.89µm
u_core.u_transform_scheduler_core.rx_fft128_index\[6\],21.89µm
u_core.u_transform_scheduler_core.rx_small_x0_q\[0\],21.89µm
u_core.u_transform_scheduler_core.tx_dft12_hold_i\[2\]\[5\],21.89µm
u_core.u_transform_scheduler_core.tx_sample_i\[4\],21.89µm
_02264_,21.84µm
_03728_,21.84µm
_03752_,21.84µm
_04925_,21.84µm
_05586_,21.84µm
_06244_,21.84µm
_06832_,21.84µm
_07158_,21.84µm
_07339_,21.84µm
_07492_,21.84µm
_07496_,21.84µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_i_reg\[5\],21.84µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.responses_left\[0\],21.48µm
_07790_,21.43µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_i_reg\[8\],21.43µm
_01989_,21.38µm
_02251_,21.38µm
_03371_,21.38µm
_03698_,21.38µm
_04112_,21.38µm
_04332_,21.38µm
_04719_,21.38µm
_07606_,21.38µm
_07654_,21.38µm
_08327_,21.38µm
u_core.debug_addr\[5\],21.38µm
u_core.debug_addr\[7\],21.38µm
u_core.u_transform_scheduler_core.fft128_inverse_active,21.38µm
u_core.u_transform_scheduler_core.mod_x0_i\[9\],21.38µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_q\[9\],21.38µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.state\[1\],21.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_q_reg\[3\],21.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rr_reg\[0\],21.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_ii_reg\[4\],21.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rq_reg\[6\],21.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_sum_q_reg\[0\],21.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_i_reg\[14\],21.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[0\],21.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[6\],21.38µm
_01732_,21.33µm
_02574_,21.33µm
_02826_,21.33µm
_03003_,21.33µm
_03903_,21.33µm
_05172_,21.33µm
_05527_,21.33µm
_05756_,21.33µm
_05912_,21.33µm
_06808_,21.33µm
_06953_,21.33µm
_07532_,21.33µm
_07739_,21.33µm
_07928_,21.33µm
_07965_,21.33µm
_08243_,21.33µm
_08477_,21.33µm
_08527_,21.33µm
_08632_,21.33µm
_08703_,21.33µm
u_core.debug_addr\[3\],21.33µm
u_core.u_transform_scheduler_core.rx_state\[10\],21.33µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_i_reg\[7\],21.33µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[12\],21.33µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_iq_reg\[2\],21.33µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[3\],21.33µm
_01953_,21.28µm
_02135_,21.28µm
_02276_,21.28µm
_02371_,21.28µm
_02391_,21.28µm
_03321_,21.28µm
_03400_,21.28µm
_03455_,21.28µm
_03717_,21.28µm
_05971_,21.28µm
_08669_,21.28µm
u_core.u_transform_scheduler_core.mod_x0_q\[3\],21.28µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_twiddle_im_reg\[1\],21.28µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_q_reg\[0\],21.28µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_addr\[1\],21.19µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_wdata\[4\],21.14µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_wdata\[6\],21.14µm
_03878_,20.97µm
_04185_,20.87µm
_07818_,20.87µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[2\],20.87µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[4\],20.87µm
_02748_,20.85µm
_03700_,20.82µm
_03895_,20.82µm
_04116_,20.82µm
_04168_,20.82µm
_04534_,20.82µm
_05563_,20.82µm
_08405_,20.82µm
_08695_,20.82µm
u_core.core_ofdm_active,20.82µm
u_core.u_transform_scheduler_core.mod_x0_i\[2\],20.82µm
u_core.u_transform_scheduler_core.ofdm_sample_i\[6\],20.82µm
u_core.u_transform_scheduler_core.tx_sample_i\[5\],20.82µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_i\[11\],20.82µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_q\[3\],20.82µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.i_half\[4\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_i_reg\[1\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_i_reg\[9\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[2\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_ii_reg\[7\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rq_reg\[2\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rr_reg\[6\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_i_reg\[1\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[14\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[2\],20.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_ext\[13\],20.82µm
_00011_,20.77µm
_01086_,20.77µm
_02034_,20.77µm
_02058_,20.77µm
_02196_,20.77µm
_02318_,20.77µm
_02355_,20.77µm
_02372_,20.77µm
_02436_,20.77µm
_03024_,20.77µm
_03329_,20.77µm
_03469_,20.77µm
_04900_,20.77µm
_05242_,20.77µm
_05808_,20.77µm
_06078_,20.77µm
_06907_,20.77µm
_07788_,20.77µm
_07871_,20.77µm
_08379_,20.77µm
_08501_,20.77µm
_08640_,20.77µm
_09011_,20.77µm
u_core.debug_wdata\[4\],20.77µm
u_core.u_transform_scheduler_core.fifo_x2_q\[0\]\[2\],20.77µm
u_core.u_transform_scheduler_core.ofdm_sample_i\[5\],20.77µm
u_core.u_transform_scheduler_core.ofdm_sample_q\[10\],20.77µm
