_08210_,649.14µm
u_core.u_transform_scheduler_core.bf_X1_q\[13\],642.82µm
_04147_,642.46µm
u_core.u_transform_scheduler_core.mod_diag_addr1\[0\],642.32µm
u_core.u_transform_scheduler_core.bf_X1_i\[9\],641.4µm
_06487_,638.96µm
_04836_,637.84µm
net73,637.48µm
_02603_,635.37µm
u_core.u_transform_scheduler_core.bf_X0_i\[3\],631.32µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[3\],627.86µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_im_reg\[7\],619.56µm
_04595_,619.4µm
_08725_,617.78µm
u_core.u_transform_scheduler_core.bf_X1_i\[7\],611.36µm
u_core.u_transform_scheduler_core.mod_diag_addr0\[2\],609.38µm
_04481_,608.21µm
_02692_,605.51µm
_04431_,602.5µm
dout_PU[3],602.335µm
u_core.u_transform_scheduler_core.fft128_ofdm_active,602.15µm
u_core.u_transform_scheduler_core.bf_X0_q\[7\],601.74µm
u_core.standalone_active,601.71µm
dout_PDRV0[4],601.56µm
dout_PDRV1[0],600.99µm
dout_PDRV0[3],600.8µm
dout_PU[6],600.74µm
dout_PDRV1[3],600.65µm
dout_CS[3],600.63µm
dout_PD[3],600.38µm
dout_IE[0],600.285µm
dout_SL[3],600.08µm
dout_PDRV0[2],599.8µm
dout_PDRV1[4],599.77µm
dout_CS[4],599.49µm
dout_OE[1],599.46µm
dout_PDRV1[1],599.05µm
dout_PDRV1[5],598.89µm
dout_OE[5],598.74µm
u_core.core_X2_i\[13\],598.13µm
dout_PU[1],597.545µm
dout_PU[0],597.455µm
dout_SL[0],597.44µm
dout_IE[1],597.165µm
dout_SL[4],597.16µm
dout_SL[2],596.96µm
dout_PD[2],596.86µm
dout_CS[6],596.73µm
dout_IE[6],596.445µm
dout_CS[1],595.17µm
dout_PU[2],594.985µm
dout_CS[5],594.77µm
dout_PD[6],594.51µm
dout_PU[5],594.025µm
dout_PDRV1[6],593.29µm
_07128_,592.78µm
_07348_,592.73µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[4\],592.48µm
dout_IE[3],590.925µm
dout_PU[4],590.895µm
dout_PDRV0[0],590.56µm
dout_OE[2],590.02µm
_02985_,589.88µm
dout_OE[3],589.3µm
dout_PD[0],589.02µm
dout_PDRV0[5],589µm
