net,length_um
u_transform_scheduler_core.bf_X0_q\[8\],598.99µm
net74,598.02µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[4\],595.48µm
net196,595.02µm
_04252_,594.77µm
core_X2_q\[14\],594.2µm
u_transform_scheduler_core.bf_X1_q\[10\],592.27µm
_04654_,586.42µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[3\],586.42µm
_03878_,585.86µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[5\],584.12µm
net163,582.9µm
_02631_,580.15µm
_04672_,578.52µm
u_transform_scheduler_core.bf_X0_q\[7\],575.73µm
net22,573.74µm
net91,570.99µm
_03375_,569.97µm
net186,568.39µm
_04271_,568.32µm
_04054_,566.82µm
_04943_,565.13µm
net152,564.68µm
_05683_,562.33µm
_02808_,561.52µm
u_transform_scheduler_core.ofdm_mem_req,560.04µm
_06121_,558.11µm
_02720_,556.94µm
u_transform_scheduler_core.bf_X0_i\[8\],556.94µm
_05550_,554.65µm
_08595_,553.48µm
u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_stage_valid,551.9µm
u_transform_scheduler_core.bf_X0_q\[9\],551.24µm
net43,550.68µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[8\],550.22µm
_05680_,550.17µm
_02515_,549.91µm
_06116_,549.76µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[0\],548.84µm
net162,548.64µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[9\],546.05µm
net30,545.59µm
_04052_,543.3µm
core_X2_i\[8\],542.33µm
u_transform_scheduler_core.dft12_active,541.31µm
u_transform_scheduler_core.bf_X0_i\[14\],541.2µm
net187,539.83µm
net68,538.87µm
_02579_,538.66µm
net29,538.46µm
u_transform_scheduler_core.bf_X0_i\[15\],538.41µm
core_X2_i\[14\],537.75µm
net130,537.13µm
u_transform_scheduler_core.bf_X1_i\[10\],536.68µm
_03910_,535.76µm
net13,535.36µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[2\],533.83µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[2\],532.98µm
_04641_,532.91µm
_04704_,532.56µm
core_X2_q\[2\],532.3µm
_04223_,532.06µm
core_X2_q\[15\],531.54µm
net64,531.28µm
_02699_,531.08µm
_07207_,529.59µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[7\],529.35µm
_08172_,528.89µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[6\],526.5µm
net40,525.43µm
net76,525.12µm
_04079_,523.8µm
_04340_,523.39µm
_04982_,522.16µm
net191,521.66µm
core_X2_q\[13\],521.61µm
core_X2_q\[4\],521.61µm
_04382_,520.64µm
_02433_,520.49µm
net115,520.44µm
core_X2_q\[6\],519.92µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[1\],519.42µm
_02618_,518.2µm
_04383_,518.15µm
_04917_,517.44µm
_04666_,516.62µm
_04049_,515.3µm
_02721_,514.99µm
_02480_,513.72µm
_04296_,511.12µm
core_X2_q\[11\],510.37µm
_04239_,509.8µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[1\],506.64µm
_02445_,505.47µm
_06122_,504.58µm
net34,503.59µm
net151,503.23µm
_04498_,501.75µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[0\],500.74µm
net37,499.82µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_coefficient\[2\],499.77µm
net193,499.31µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[2\],498.09µm
_02432_,497.99µm
clknet_leaf_20_clk_regs,497.42µm
_04670_,497.17µm
_04676_,497.17µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[0\],496.16µm
u_transform_scheduler_core.bf_out_valid,493.66µm
u_transform_scheduler_core.bf_X0_i\[11\],493.2µm
_01987_,491.88µm
_02887_,491.06µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[1\],490.56µm
core_X2_i\[10\],488.57µm
net12,488.47µm
u_transform_scheduler_core.bf_X0_q\[12\],487.96µm
_08086_,487.11µm
_04999_,485.58µm
core_X2_i\[12\],485.44µm
_04801_,484.02µm
core_X2_i\[11\],483.14µm
_04997_,483.07µm
net223,482.87µm
_02255_,482.56µm
_02589_,482.51µm
_04675_,482.2µm
core_X2_i\[9\],481.98µm
core_X2_i\[13\],481.75µm
