net,length_um
u_transform_scheduler_core.tx_mapper_source_addr\[0\],707.53µm
_02319_,705.24µm
net77,698.51µm
net131,698.05µm
_06908_,696.64µm
_02728_,696.43µm
_08419_,696.33µm
net130,690.72µm
_05582_,689.09µm
net206,688.74µm
net85,687.47µm
net242,686.76µm
net66,681.69µm
_04819_,681.57µm
_03750_,681.36µm
_02463_,681.31µm
_03818_,681.31µm
net43,681.26µm
core_X2_q\[2\],679.99µm
u_transform_scheduler_core.bf_X0_q\[13\],679.33µm
u_transform_scheduler_core.bf_X1_q\[2\],679.07µm
net80,677.9µm
_06866_,676.1µm
net40,673.42µm
net78,671.69µm
_04133_,671.64µm
_08312_,671.03µm
_07033_,670.37µm
net196,669.75µm
net51,665.7µm
_08348_,664.87µm
_04573_,662.48µm
_04860_,658.2µm
core_X2_i\[11\],658.1µm
_06034_,653.83µm
net73,652.7µm
core_X2_q\[9\],649.8µm
_02786_,649.19µm
u_transform_scheduler_core.bf_X0_q\[11\],648.63µm
_08382_,647.76µm
u_transform_scheduler_core.bf_X0_i\[12\],646.44µm
u_transform_scheduler_core.bf_X0_q\[12\],644.76µm
_04662_,644.59µm
_06783_,641.31µm
u_transform_scheduler_core.dft12_phase\[2\],641.19µm
_02478_,640.89µm
_04369_,640.1µm
net228,639.67µm
_06048_,639.46µm
net200,635.7µm
core_X2_i\[12\],635.24µm
_04840_,631.42µm
_02483_,630.99µm
u_transform_scheduler_core.bf_X0_i\[13\],629.23µm
top_state\[10\],627.07µm
_07136_,626.68µm
_06984_,626.64µm
_02787_,626.28µm
_04759_,625.11µm
net33,624.24µm
_04782_,623.94µm
net60,622.64µm
_02674_,622.61µm
_06803_,621.65µm
_04825_,621.39µm
_04212_,617.88µm
_04414_,617.37µm
_03852_,615.49µm
_04874_,612.84µm
_04539_,610.24µm
_08269_,607.24µm
_08190_,606.63µm
_08233_,602.25µm
_03854_,602.15µm
_04876_,601.94µm
_05409_,597.87µm
net155,596.8µm
net150,595.63µm
_07026_,594.9µm
core_X2_i\[1\],594.46µm
core_X2_q\[3\],593.07µm
_04406_,592.955µm
net67,592.88µm
_06763_,591.92µm
net123,591.66µm
core_X2_q\[12\],590.12µm
_06045_,588.76µm
_04872_,587.28µm
core_X2_q\[7\],585.88µm
_06494_,585.45µm
net172,584.94µm
u_transform_scheduler_core.fft128_done,584.23µm
_04291_,583.48µm
net44,583.11µm
_06035_,580.66µm
_06901_,580.16µm
_02824_,579.9µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_req,579.65µm
u_transform_scheduler_core.bf_X0_q\[7\],579.24µm
_03997_,578.68µm
u_transform_scheduler_core.fft128_ofdm_active,576.95µm
_00004_,576.34µm
core_X2_i\[14\],574.25µm
net166,572.92µm
_08528_,572.62µm
net236,572.52µm
u_transform_scheduler_core.rx_small_inverse,571.3µm
net156,569.64µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[0\],569.01µm
_04294_,568.96µm
net163,568.9µm
_04418_,566.4µm
_02842_,566.36µm
_07012_,565.97µm
u_transform_scheduler_core.bf_X0_i\[0\],565.9µm
u_transform_scheduler_core.tx_mapper_source_addr\[1\],564.73µm
_06448_,563.41µm
_04696_,561.27µm
_02613_,559.18µm
net218,558.52µm
_04823_,556.94µm
u_transform_scheduler_core.bf_X0_i\[1\],556.43µm
net235,552.92µm
_04256_,552.87µm
core_X2_i\[8\],552.63µm
_08447_,552.46µm
_02570_,549.71µm
u_transform_scheduler_core.bf_X0_i\[11\],548.69µm
_04728_,548.29µm
_08526_,548.29µm
net14,548.29µm
u_transform_scheduler_core.bf_X0_i\[3\],547.27µm
net164,545.56µm
_02926_,545.03µm
_04866_,544.92µm
net12,544.88µm
net15,544.52µm
net194,544.51µm
_04253_,543.25µm
_03684_,539.7µm
net72,539.68µm
core_X2_i\[15\],537.24µm
_04734_,537.09µm
u_transform_scheduler_core.bf_X0_q\[10\],537.04µm
_03757_,536.58µm
_04535_,535.36µm
_05576_,534.64µm
core_X2_i\[7\],534.34µm
_04904_,534.17µm
u_transform_scheduler_core.bf_out_valid,534.03µm
_02477_,533.98µm
_04128_,533.12µm
_03812_,532.36µm
net152,531.99µm
_02466_,531.84µm
_04640_,531.49µm
_06036_,530.72µm
u_transform_scheduler_core.bf_X0_i\[10\],530.47µm
_02594_,530.11µm
_02934_,528.58µm
_08521_,525.99µm
_06041_,525.58µm
_03541_,525.01µm
_04513_,524.96µm
_06047_,522.345µm
_00067_,521.85µm
_04514_,520.74µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[7\],520.39µm
_04254_,520.34µm
_05613_,520.34µm
net54,519.83µm
net92,519.62µm
net142,517.94µm
net230,517.79µm
net223,516.67µm
_06722_,516.32µm
_02910_,515.96µm
net82,515.3µm
_02492_,514.74µm
_06644_,514.69µm
_04611_,514.33µm
_02590_,513.87µm
_04814_,513.57µm
core_X2_q\[4\],512.6µm
core_X2_i\[9\],512.24µm
_02942_,512.09µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[1\],512.04µm
_02938_,511.53µm
_02769_,510.26µm
u_transform_scheduler_core.bf_X0_i\[7\],509.09µm
core_X2_i\[3\],508.71µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[6\],508.12µm
_08502_,507.46µm
_08421_,507µm
_05854_,506.29µm
net145,506.13µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[1\],505.78µm
_04405_,504.66µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[2\],500.79µm
net11,500.64µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[0\],497.89µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[5\],496.77µm
_02676_,496.26µm
_07019_,495.96µm
net13,495.04µm
_08527_,494.93µm
_04430_,493.3µm
_04603_,493.3µm
_08153_,493.1µm
_08120_,491.37µm
clknet_leaf_9_clk_regs,490.04µm
_06742_,489.62µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[8\],489.08µm
_04275_,487.81µm
_05645_,487.76µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[7\],486.9µm
_05413_,486.38µm
_04863_,485.87µm
_03569_,485.77µm
_04301_,482.16µm
_00039_,481.75µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[6\],480.33µm
u_transform_scheduler_core.bf_X0_q\[5\],480.22µm
_06873_,479.97µm
net212,479.71µm
_05887_,479.41µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[3\],479.41µm
u_transform_scheduler_core.bf_X0_i\[4\],478.9µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[4\],478.49µm
_04141_,477.57µm
net93,476.6µm
_06915_,473.76µm
u_transform_scheduler_core.bf_X0_q\[15\],473.5µm
_06425_,473.25µm
_04126_,472.84µm
_06998_,472.64µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[2\],472.13µm
net10,471.52µm
u_transform_scheduler_core.bf_X0_i\[2\],471.52µm
net158,470.79µm
_05871_,470.4µm
_05930_,469.33µm
net115,467.49µm
u_transform_scheduler_core.bf_X0_q\[8\],467.39µm
clknet_leaf_13_clk_regs,466.52µm
_02262_,466.37µm
u_transform_scheduler_core.dft12_base\[3\],465.81µm
_05034_,465.36µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[3\],465.36µm
u_transform_scheduler_core.bf_X0_i\[8\],465.15µm
_05577_,465.05µm
_04407_,465µm
_04441_,464.85µm
_06062_,463.47µm
_03995_,463.42µm
top_state\[9\],461.03µm
_06687_,460.42µm
_07005_,459.76µm
delaynet_1_core_clk,459.25µm
clknet_leaf_50_clk_regs,458.63µm
_04206_,458.28µm
_02896_,458.23µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_gwen,457.96µm
clknet_leaf_29_clk_regs,457.36µm
u_transform_scheduler_core.bf_X0_q\[9\],457.21µm
_04266_,456.65µm
net159,455.27µm
core_X2_i\[0\],454.97µm
clknet_leaf_88_clk_regs,453.36µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[5\],452.12µm
_07134_,451.25µm
_04983_,451.08µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_write,450.85µm
clknet_leaf_48_clk_regs,450.79µm
_05008_,450.34µm
_05284_,449.12µm
core_X2_i\[4\],448.71µm
net148,447.18µm
net162,446.36µm
_05630_,446.32µm
net16,445.76µm
core_X2_i\[6\],444.74µm
net53,444.28µm
_06169_,444.23µm
