test,bin,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
0,23,64,0,64,0,0.5,0.0
0,24,64,0,64,0,0.5,0.0
0,25,64,0,64,0,0.5,0.0
0,26,64,0,64,0,0.5,0.0
0,27,64,0,64,0,0.5,0.0
0,28,64,0,64,0,0.5,0.0
0,29,64,0,64,0,0.5,0.0
0,30,64,0,64,0,0.5,0.0
0,31,64,0,64,0,0.5,0.0
0,32,64,0,64,0,0.5,0.0
0,33,64,0,64,0,0.5,0.0
0,34,64,0,64,0,0.5,0.0
0,35,64,0,64,0,0.5,0.0
0,36,64,0,64,0,0.5,0.0
0,37,64,0,64,0,0.5,0.0
0,38,64,0,64,0,0.5,0.0
0,39,64,0,64,0,0.5,0.0
0,40,64,0,64,0,0.5,0.0
0,41,64,0,64,0,0.5,0.0
0,42,64,0,64,0,0.5,0.0
0,43,64,0,64,0,0.5,0.0
0,44,64,0,64,0,0.5,0.0
0,45,64,0,64,0,0.5,0.0
0,46,64,0,64,0,0.5,0.0
0,47,64,0,64,0,0.5,0.0
0,48,64,0,64,0,0.5,0.0
0,49,64,0,64,0,0.5,0.0
0,50,64,0,64,0,0.5,0.0
0,51,64,0,64,0,0.5,0.0
0,52,64,0,64,0,0.5,0.0
0,53,64,0,64,0,0.5,0.0
0,54,64,0,64,0,0.5,0.0
0,55,64,0,64,0,0.5,0.0
0,56,64,0,64,0,0.5,0.0
0,57,64,0,64,0,0.5,0.0
0,58,64,0,64,0,0.5,0.0
0,59,64,0,64,0,0.5,0.0
0,60,64,0,64,0,0.5,0.0
0,61,64,0,64,0,0.5,0.0
0,62,64,0,64,0,0.5,0.0
0,63,64,0,64,0,0.5,0.0
0,64,64,0,64,0,0.5,0.0
0,65,64,0,64,0,0.5,0.0
0,66,64,0,64,0,0.5,0.0
0,67,64,0,64,0,0.5,0.0
0,68,64,0,64,0,0.5,0.0
0,69,64,0,64,0,0.5,0.0
0,70,64,0,64,0,0.5,0.0
0,71,64,0,64,0,0.5,0.0
0,72,64,0,64,0,0.5,0.0
0,73,64,0,64,0,0.5,0.0
0,74,64,0,64,0,0.5,0.0
0,75,64,0,64,0,0.5,0.0
0,76,64,0,64,0,0.5,0.0
0,77,64,0,64,0,0.5,0.0
0,78,64,0,64,0,0.5,0.0
0,79,64,0,64,0,0.5,0.0
0,80,64,0,64,0,0.5,0.0
0,81,64,0,64,0,0.5,0.0
0,82,64,0,64,0,0.5,0.0
0,83,64,0,64,0,0.5,0.0
0,84,64,0,64,0,0.5,0.0
0,85,64,0,64,0,0.5,0.0
0,86,64,0,64,0,0.5,0.0
0,87,64,0,64,0,0.5,0.0
0,88,64,0,64,0,0.5,0.0
0,89,64,0,64,0,0.5,0.0
0,90,64,0,64,0,0.5,0.0
