test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
0,68,-1,0,-1,0,-0.003915717532437593,9.612546998910912e-05
0,69,-1,-1,-1,-1,-0.0034702162507597215,-0.0010526785910682651
0,70,-1,-1,-1,-1,-0.00247546365365363,-0.0017434182073861881
0,71,-1,-1,-1,-1,-0.0012943434738939032,-0.0017452201449860982
0,72,-1,-1,-1,-1,-0.0003557985769586415,-0.0010770176644885653
0,73,0,0,0,0,0.0,0.0
0,74,-1,0,-1,0,-0.00035579857695863457,0.001077017664488568
0,75,-1,0,-1,0,-0.0012943434738938997,0.0017452201449861
0,76,-1,0,-1,0,-0.00247546365365363,0.0017434182073861916
0,77,-1,0,-1,0,-0.003470216250759724,0.0010526785910682686
0,78,-1,-1,-1,-1,-0.003915717532437595,-9.612546998910565e-05
0,79,-1,-1,-1,-1,-0.0036467066555797784,-0.001304812505322198
0,80,-1,-1,-1,-1,-0.002756438611680993,-0.0021511458059217323
0,81,-1,-1,-1,-1,-0.001564624282461605,-0.002341625717538394
0,82,-1,-1,-1,-1,-0.000503353558142303,-0.0018188860426602642
0,83,0,-1,0,-1,3.854832460936132e-05,-0.0007846691735833576
0,84,-1,0,-1,0,-0.00014297555223110724,0.0003706501815789147
0,85,-1,0,-1,0,-0.0009909994450051861,0.0012075363175945463
0,86,-1,0,-1,0,-0.002204916737080566,0.0013962481250093034
0,87,-1,0,-1,0,-0.0033461969041074526,0.0008381786907114318
0,88,-1,-1,-1,-1,-0.003995657616662833,-0.00029473741265148047
0,89,-1,-1,-1,-1,-0.00390625,-0.001618021728019903
0,90,-1,-1,-1,-1,-0.0030960981741791254,-0.002670712651896173
0,91,-1,-1,-1,-1,-0.0018471112428131093,-0.003081718930133755
0,92,-1,-1,-1,-1,-0.0006078590922716713,-0.0027069194618347344
0,93,0,-1,0,-1,0.00016613912116616612,-0.001686838805247675
0,94,0,-1,0,-1,0.00017832535688628323,-0.0004022955590178206
0,95,-1,0,-1,0,-0.0005966642377940916,0.0006583175390063881
0,96,-1,0,-1,0,-0.00189639080495089,0.001074292121446844
0,97,-1,0,-1,0,-0.003258161402186131,0.0006480885978138694
0,98,-1,-1,-1,-1,-0.004181947662690833,-0.0005157940483324435
0,99,-1,-1,-1,-1,-0.004311908025730691,-0.0020393806130536984
0,100,-1,-1,-1,-1,-0.003571358005424785,-0.0034002154823683474
0,101,-1,-1,-1,-1,-0.002200779771514894,-0.004117369355832286
0,102,-1,-1,-1,-1,-0.0006817560954496327,-0.003929057190931564
0,103,0,-1,0,-1,0.0004297637327566946,-0.0028972317499527432
0,104,0,-1,0,-1,0.0007039383704849278,-0.001398485352991737
0,105,0,0,0,0,0.0,0.0
0,106,-1,0,-1,0,-0.0014688751012325698,0.0007393695922488812
0,107,-1,0,-1,0,-0.0031966026363696148,0.00047417120883357176
0,108,-1,-1,-1,-1,-0.004554869198096523,-0.0007903447796446614
0,109,-1,-1,-1,-1,-0.005017029076229534,-0.0026816579106336003
0,110,-1,-1,-1,-1,-0.00435697348726191,-0.004576272363867407
0,111,-1,-1,-1,-1,-0.0027497864368937718,-0.005813934942008516
0,112,-1,-1,-1,-1,-0.0007323712773036313,-0.005937909445143094
0,113,0,-1,0,-1,0.000969933130206034,-0.004876183130206033
