net,length_um
_03464_,552.19µm
net80,551.78µm
net859,551.24µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_cen,551µm
net330,550.73µm
net195,550.37µm
net281,550.37µm
net1405,549.93µm
net82,549.71µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[7\],549.15µm
net33,548.95µm
u_transform_scheduler_core.bf_X1_q\[8\],548.36µm
_02554_,548.34µm
_07356_,546.98µm
net1110,545.94µm
net845,545.59µm
core_X2_i\[1\],542.79µm
net272,541.11µm
net1412,540.98µm
net3,540.96µm
net1150,540.75µm
_04012_,540.14µm
net843,540.09µm
_05592_,538.21µm
_08423_,537.7µm
_09770_,537.09µm
net813,537.08µm
net129,535.76µm
net1425,535.05µm
net183,534.14µm
net262,534.1µm
net1093,532.15µm
_05022_,532.1µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_gwen,529.08µm
net893,527.72µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[12\],527.67µm
net25,527.11µm
_07768_,527.06µm
net57,526.8µm
net270,526.64µm
net100,526.19µm
net60,526.14µm
net1635,526.09µm
net348,525.53µm
net897,525.03µm
u_transform_scheduler_core.bf_X0_q\[12\],524.87µm
net1274,524.31µm
_03320_,523.29µm
net1156,522.99µm
net45,522.53µm
u_transform_scheduler_core.bf_X0_q\[9\],522.38µm
_04958_,520.44µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[14\],519.93µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[0\],519.54µm
_06099_,519.23µm
net179,519.2µm
net36,519.17µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[1\],519.03µm
_03526_,518.42µm
u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[4\],518.14µm
net181,518.07µm
u_transform_scheduler_core.bf_X0_i\[8\],517.69µm
net43,517.03µm
net1281,515.09µm
net86,515.04µm
u_transform_scheduler_core.bf_out_valid,514.79µm
net585,514.13µm
u_transform_scheduler_core.bf_X1_i\[12\],512.12µm
net1634,511.63µm
standalone_active,511.38µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[1\],510.87µm
net169,510.07µm
net1333,510µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[3\],509.75µm
clknet_6_8_0_clk_regs,509.19µm
net1348,507.05µm
net175,506.47µm
net841,506.38µm
net819,504.17µm
net20,504.1µm
_07339_,503.18µm
net133,502.98µm
net453,502.98µm
net1084,502.72µm
_03571_,502.11µm
net1174,501.55µm
_05155_,501.45µm
net878,501.4µm
net2,501.29µm
u_transform_scheduler_core.bf_X1_q\[2\],500.89µm
_04704_,499.72µm
core_X2_i\[7\],499.16µm
_06665_,499.11µm
_07349_,498.6µm
_05328_,497.51µm
_06888_,497.28µm
net66,496.36µm
net289,496.05µm
net187,495.02µm
u_transform_scheduler_core.bf_X1_q\[1\],494.58µm
net895,494.58µm
net1250,494.32µm
net111,493.56µm
net186,493.06µm
net521,493.05µm
net1249,492.26µm
net234,491.37µm
net160,491.02µm
net1468,490.96µm
net1276,490.76µm
_08264_,490.47µm
net1021,489.3µm
net825,488.01µm
core_X2_i\[8\],487.91µm
net1280,486.94µm
net1214,486.69µm
net1197,485.67µm
u_transform_scheduler_core.bf_X1_q\[3\],485.06µm
net450,485.06µm
net888,484.55µm
net139,484.39µm
net1287,484.39µm
net903,484.11µm
net1140,484.09µm
u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[2\],483.99µm
net126,483.38µm
_05515_,482.87µm
net1637,482.72µm
net351,482.36µm
core_X2_i\[3\],481.85µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[5\],480.53µm
net1515,480.22µm
net340,478.94µm
_05006_,478.85µm
u_transform_scheduler_core.u_mixed_radix_butterfly.scalar_operand\[4\],478.39µm
net570,477.98µm
net370,477.93µm
net153,477.11µm
_05256_,476.07µm
_06439_,475.18µm
net73,475.13µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[2\],474.44µm
_05920_,474.42µm
_02720_,472.79µm
_06413_,472.66µm
net189,471.92µm
u_transform_scheduler_core.bf_X0_q\[4\],471.82µm
net1273,471.62µm
net700,471.21µm
_04304_,471.16µm
_03259_,471.11µm
net32,470.96µm
net1275,470.9µm
net182,470.7µm
u_transform_scheduler_core.bf_X0_q\[5\],470.6µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[6\],470.55µm
net672,470.45µm
net1282,469.94µm
_05025_,469.89µm
net1149,469.02µm
net35,468.72µm
net38,468.21µm
net369,467.62µm
net146,467.29µm
_03590_,467.1µm
net156,466.88µm
net1285,466.73µm
net29,466.58µm
net1253,466.58µm
u_transform_scheduler_core.bf_X0_i\[10\],466.07µm
net56,465.51µm
net193,465.51µm
_06877_,464.34µm
net237,464.13µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_addr\[6\],464.1µm
net1136,463.37µm
net909,463.32µm
_06463_,462.53µm
net343,462.48µm
net1135,462.4µm
_05024_,462.35µm
net265,462.3µm
net1109,461.79µm
_05287_,461.44µm
net328,461.33µm
u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[5\],461.23µm
_06143_,460.88µm
_06191_,460.38µm
net1415,459.96µm
_04931_,459.25µm
net399,458.33µm
net664,458.32µm
net675,457.72µm
net908,457.72µm
net303,457.52µm
net290,456.25µm
_05009_,456.04µm
net713,455.99µm
_09278_,455.94µm
_05943_,455.89µm
u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_wdata\[3\],455.7µm
net1384,455.58µm
u_transform_scheduler_core.bf_X0_q\[6\],455.55µm
net1229,455.38µm
net468,454.77µm
net1240,454.41µm
_07981_,454.31µm
net485,454.26µm
net902,454.18µm
net517,453.7µm
_06104_,452.68µm
u_transform_scheduler_core.bf_X1_q\[0\],452.07µm
net1101,451.75µm
net269,451µm
_04706_,449.73µm
_08232_,449.48µm
net787,449.37µm
net122,449.16µm
net64,448.71µm
serializer_busy,447.94µm
_04711_,447.79µm
_06221_,446.96µm
net840,446.79µm
net1629,446.01µm
net683,445.81µm
_08211_,445.35µm
_03318_,445.18µm
net1204,444.86µm
_07654_,444.13µm
net1286,443.36µm
u_transform_scheduler_core.bf_X0_i\[7\],442.58µm
net1146,441.98µm
net1291,441.33µm
net162,441.12µm
net271,440.88µm
net41,440.72µm
_04155_,440.56µm
_05898_,440.46µm
net678,439.29µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_gwen,438.94µm
_05459_,438.88µm
u_transform_scheduler_core.bf_X1_q\[7\],437.46µm
net172,436.54µm
u_transform_scheduler_core.bf_X1_q\[6\],436.29µm
net1182,436.21µm
_03167_,435.34µm
u_transform_scheduler_core.bf_X1_q\[9\],435.32µm
u_transform_scheduler_core.bf_X0_q\[3\],435.12µm
net1344,435.01µm
net176,434.92µm
net603,434.61µm
net682,434.2µm
net1428,433.79µm
_03315_,433.57µm
net673,433.54µm
_06388_,432.69µm
net696,432.62µm
net1085,432.01µm
net446,431.91µm
net623,431.4µm
net622,430.89µm
net132,430.28µm
net137,429.39µm
net275,429.26µm
net680,429.11µm
_04629_,428.96µm
u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[3\],428.77µm
net277,428.45µm
net779,427.07µm
net788,427.04µm
net239,426.97µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[5\],426.36µm
net1169,425.85µm
delaynet_2_clk,425.09µm
net1171,425.08µm
net479,423.76µm
net438,423.71µm
net1158,423.56µm
net891,423.51µm
_05198_,423.46µm
core_X2_i\[0\],422.44µm
net827,422.44µm
net1176,422.44µm
net690,422.34µm
net1192,422.29µm
net110,421.68µm
net1313,421.52µm
net347,421.47µm
net360,420.25µm
net1139,420.2µm
clknet_6_32_0_clk_regs,419.59µm
_06196_,419.03µm
_05893_,418.93µm
net1266,418.62µm
_06664_,418.36µm
net911,418.31µm
_05982_,418.26µm
net121,417.97µm
_03316_,417.94µm
net1012,417.5µm
net966,417.4µm
net917,417.21µm
_06294_,416.84µm
net267,416.28µm
net515,416.28µm
_05761_,416.23µm
net371,416.23µm
_09375_,415.67µm
net1636,415.62µm
net990,413.53µm
net1172,413.22µm
net1018,413.02µm
_04964_,412.87µm
_06264_,412.87µm
_03666_,412.51µm
net918,411.29µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[9\],411.19µm
u_transform_scheduler_core.bf_X0_q\[14\],410.68µm
net701,409.75µm
net408,409.56µm
_03161_,409.46µm
_08135_,409.36µm
_05564_,409.05µm
u_transform_scheduler_core.bf_X1_q\[4\],408.85µm
_03640_,408.54µm
_06269_,408.49µm
net1099,408.49µm
net467,408.44µm
net560,407.83µm
net1347,407.8µm
net541,407.78µm
_08040_,407.68µm
_05998_,407.17µm
_05239_,407.06µm
_04993_,406.71µm
net397,406.61µm
net980,406.61µm
_06342_,406.17µm
net829,405.64µm
_05156_,405.49µm
_07347_,405.28µm
_02685_,404.93µm
_08128_,404.42µm
net464,404.42µm
u_transform_scheduler_core.bf_X1_i\[6\],403.81µm
u_transform_scheduler_core.bf_X0_i\[9\],403.4µm
net501,403.35µm
_05641_,403.25µm
net180,403.22µm
net1603,402.94µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[11\],402.89µm
_04225_,402.82µm
u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[8\],402.74µm
_08424_,402.69µm
_03894_,402.36µm
net393,402.25µm
net241,401.82µm
net999,401.26µm
net163,401.16µm
_04975_,401.01µm
u_transform_scheduler_core.u_fft128_modulo_controller.slot_phase\[1\],400.6µm
net436,399.88µm
net155,399.58µm
net1413,399.42µm
net626,399µm
net1358,398.97µm
net708,398.87µm
net174,398.61µm
_05291_,398.41µm
_02638_,398.31µm
net87,397.65µm
_05414_,397.6µm
_07272_,397.2µm
net463,396.63µm
net1125,396.63µm
net508,396.48µm
net95,396.07µm
net1180,395.71µm
net51,395.67µm
_05335_,395.41µm
net107,394.95µm
net1224,394.64µm
net832,394.63µm
net165,394.54µm
_05770_,394.39µm
net1114,393.93µm
_02572_,393.73µm
net59,393.33µm
_06283_,393.22µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[0\],393.22µm
net899,392.91µm
net1288,392.25µm
net1368,391.69µm
net91,391.59µm
net684,391.49µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[15\],390.42µm
_07919_,390.37µm
_04707_,389.81µm
net561,389.81µm
net1292,389.8µm
net679,389.35µm
net563,389.3µm
net1485,388.99µm
net395,388.23µm
net478,388.08µm
net1339,388.02µm
net285,387.77µm
net89,387.62µm
