net,length_um
_06597_,768.42µm
_04616_,767.98µm
_04108_,767.86µm
_04121_,767.86µm
u_transform_scheduler_core.bf_X0_q\[10\],767.86µm
net87,767.5µm
_02627_,767.39µm
_06710_,766.79µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[14\],766.23µm
net94,764.8µm
net55,764.75µm
_07022_,762.31µm
net14,762.21µm
u_transform_scheduler_core.bf_X0_i\[15\],760.63µm
_05128_,758.18µm
_07036_,756.71µm
net184,753.6µm
net146,753.5µm
u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_pending,753.27µm
_06122_,751.51µm
_08457_,749.07µm
_04159_,747.8µm
u_transform_scheduler_core.bf_X0_i\[14\],747.7µm
net74,747.13µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[11\],746.27µm
_04492_,743.17µm
_07029_,741.59µm
_05717_,739.25µm
_06432_,738.98µm
_04943_,737.97µm
net58,736.75µm
_04479_,736.55µm
_03651_,735.68µm
_04953_,735.37µm
net131,734.05µm
serializer_busy,733.9µm
_04966_,731.2µm
_07043_,729.78µm
u_transform_scheduler_core.ofdm_fft_block_ready,728.71µm
net231,728.3µm
_06456_,728.15µm
_00346_,728.05µm
_04335_,727.54µm
net36,727.49µm
_07050_,727.03µm
_05409_,725.91µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[0\],725.86µm
_07015_,723.67µm
net160,722.09µm
_00347_,721.89µm
net228,718.57µm
net31,713.38µm
_04374_,712.93µm
net202,712.06µm
_02448_,710.99µm
_04438_,710.69µm
net114,710.42µm
_07207_,708.59µm
_00348_,708.45µm
net85,708.29µm
_05686_,707.53µm
_00345_,707.33µm
_05677_,707.27µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[6\],706.22µm
u_transform_scheduler_core.fft128_tx_active,705.7µm
u_transform_scheduler_core.u_fft_scratch_sram.u_lo.macro_q\[7\],705.1µm
_05902_,704.63µm
_04996_,704.27µm
_08346_,703.81µm
_02868_,703.22µm
_04127_,701.83µm
u_transform_scheduler_core.bf_X0_i\[11\],699.59µm
_00067_,698.93µm
_04654_,698.42µm
_05984_,697.35µm
net216,696.43µm
_04334_,695.62µm
net197,693.32µm
net86,692.91µm
_02626_,690.78µm
_03736_,686.61µm
net73,686.45µm
_04620_,686.15µm
net88,685.74µm
u_transform_scheduler_core.bf_X0_i\[13\],684.98µm
_04134_,683.86µm
u_transform_scheduler_core.bf_X0_i\[8\],682.89µm
u_transform_scheduler_core.bf_X0_i\[9\],681.11µm
_06123_,680.83µm
net83,679.48µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[1\],678.21µm
_06124_,677.8µm
_04155_,676.02µm
_06121_,672.81µm
_05452_,670.47µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[9\],670.01µm
_04409_,669.76µm
_05473_,667.67µm
_08595_,666.78µm
_04967_,664.46µm
_05553_,663.44µm
net212,662.37µm
_05933_,662.07µm
_04968_,661.61µm
_02528_,659.9µm
_05815_,657.44µm
net82,655.6µm
u_transform_scheduler_core.tx_mapper_done,655.35µm
net93,653.46µm
net13,653.01µm
_05517_,651.43µm
_02109_,650.77µm
net78,650µm
net177,649.34µm
_08309_,647.56µm
net35,646.69µm
u_transform_scheduler_core.fifo_count\[0\],646.03µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[2\],645.22µm
_02515_,641.04µm
_08152_,640.18µm
net165,638.75µm
u_transform_scheduler_core.tx_mapper_source_addr\[1\],638.6µm
_04383_,637.58µm
_06558_,635.03µm
net135,634.47µm
net162,633.8µm
net179,633.76µm
_04151_,632.44µm
net72,630.81µm
net204,628.92µm
net30,627.91µm
net207,627.04µm
u_transform_scheduler_core.tx_output_busy,626.33µm
net65,626.33µm
net59,625.77µm
u_transform_scheduler_core.fifo_x2_i\[0\]\[10\],624.09µm
_04471_,623.94µm
