net,length_um
_4020_,169.73µm
net329,169.27µm
_1392_,169.17µm
_3156_,169.17µm
_1378_,169.12µm
u_core.im_d\[3\],168.67µm
_3213_,168.15µm
fdiq_fd_in_data\[0\],168.05µm
u_core.im_d\[9\],167.86µm
net25,167.3µm
u_core.im_q_lo\[2\],166.53µm
net281,166.42µm
net245,164.28µm
net192,164.23µm
clknet_5_11__leaf_clk_i_regs,163.72µm
u_core.re_q_hi\[4\],163.38µm
u_sch.kk\[4\],163.21µm
_0808_,163.01µm
_1808_,162.55µm
net120,162.5µm
net234,162.45µm
_3392_,162.4µm
_3400_,161.99µm
net274,161.99µm
fdiq_fd_in_data\[11\],161.43µm
net327,160.97µm
_1421_,160.26µm
u_core.botr\[2\],160.26µm
u_sch.stage\[1\],160.26µm
_3405_,159.74µm
_2657_,158.58µm
_1670_,157.51µm
_0472_,157.41µm
net326,157µm
net108,156.34µm
u_core.re_d\[3\],156.1µm
_3582_,155.83µm
net41,155.73µm
u_core.re_d\[13\],155.59µm
_1356_,155.12µm
_3689_,154.66µm
_3262_,153.08µm
u_core.re_d\[14\],152.74µm
_2993_,152.42µm
_0916_,152.37µm
_1698_,151.5µm
_3818_,151.25µm
_3266_,150.64µm
_1218_,150.18µm
_3749_,150.13µm
_4013_,150.08µm
net328,149.82µm
_0730_,149.57µm
fdiq_fd_in_data\[10\],149.57µm
net147,149.16µm
_4143_,149.06µm
_3004_,149.01µm
_1528_,148.96µm
net77,148.48µm
_1282_,148.45µm
net166,147.58µm
net388,147.38µm
_1619_,146.87µm
_0574_,145.7µm
clknet_5_9__leaf_clk_i_regs,145.24µm
net34,144.96µm
_1118_,144.02µm
_0524_,143.92µm
net160,143.61µm
_4019_,143.36µm
net119,143.05µm
_3391_,142.85µm
_4026_,142.85µm
_0698_,142.44µm
_2333_,142.34µm
_3619_,141.78µm
_3693_,141.32µm
net151,140.61µm
fdiq_fd_in_data\[9\],140.05µm
_1283_,139.54µm
net258,139.54µm
fdiq_fd_in_data\[1\],139.44µm
_0519_,138.37µm
_1256_,138.37µm
_3341_,138.37µm
_0360_,137.81µm
_3838_,137.4µm
_4048_,137.3µm
net87,135.67µm
net410,135.01µm
net333,133.94µm
_1686_,132.77µm
u_sch.kk\[6\],132.72µm
net111,132.31µm
_1243_,132.26µm
_2766_,132.26µm
net315,132.26µm
_3271_,132.21µm
u_sch.kk\[1\],132.16µm
net276,131.8µm
_2704_,131.09µm
_1699_,131.04µm
net168,130.88µm
_3099_,130.58µm
_2809_,128.85µm
clknet_4_9_0_clk_i_regs,128.85µm
_2941_,128.8µm
u_core.state\[3\],128.8µm
_1115_,128.34µm
_0303_,127.78µm
net332,127.78µm
_1573_,127.73µm
_3699_,127.73µm
_2943_,127.22µm
net446,127.17µm
_1432_,126.66µm
_3126_,126.56µm
clknet_4_14_0_clk_i_regs,126.56µm
_1251_,126.1µm
_0912_,125.44µm
_1956_,124.57µm
net122,123.96µm
_4179_,123.35µm
net123,123.35µm
net36,123.3µm
net162,122.84µm
_2671_,122.79µm
net28,122.69µm
_3591_,122.23µm
_3954_,122.18µm
net4,122.13µm
net70,122.13µm
_0364_,121.62µm
_0317_,121.57µm
_1357_,121.57µm
net125,121.06µm
_1050_,121.01µm
_3545_,121.01µm
net218,120.7µm
_1994_,120.5µm
net231,120.45µm
clknet_5_10__leaf_clk_i_regs,120.04µm
net236,119.99µm
_1843_,119.48µm
net132,119.38µm
_0712_,119.33µm
_3426_,119.14µm
net181,118.87µm
_2771_,118.82µm
_3329_,118.77µm
_3264_,118.31µm
_1315_,117.85µm
_2945_,117.19µm
net163,117.14µm
_2700_,117.09µm
_1593_,117.04µm
net157,116.04µm
net377,115.97µm
u_sch.kk\[3\],115.51µm
_2772_,114.9µm
_0510_,114.8µm
_1480_,114.8µm
_0735_,114.39µm
_0554_,113.83µm
_1673_,113.83µm
_0001_,113.12µm
_1236_,112.66µm
clknet_4_8_0_clk_i_regs,112.1µm
